Content,Label
ሰፋሪ ስትለኝ እኔ ጋላ ወራሪ መጤ እልካለሁ,ጥላቻ
ሰፋሪ ስትለኝ እኔ ጋላ ወራሪ መጤ እልካለሁ,ጥላቻ
ባለጌ ጅብ መጥፎ እርኩስ የሰው አውሬ ተላላኪ ጋላ ጌታሽ ነው,ጥላቻ
በፈጣሪ ይውንባችሁ እናት ጋላወች እስኪ እራሳችውን እዩት ሸታቶች,ጥላቻ
ባዶ ጭንቅላት ጋላ,ጥላቻ
አሁን የኢትዮጵያ ህዝቦች ህልውናቸው አደጋ ላይ ሳይወድቅ ይህንን ከርሳም ሆዳም ጋላ ፓርቲ ከእነ አመራሮቹ በቃን ሊሉት ይገባል ካለዚያ ግን ማቆሚያ ወደሌለው መጠፋፋት ውስጥ እያመሩ መሆኑን ልንረዳ ይገባል,ጥላቻ
አማራ ከዚህ ከይሲ ጋላና ኦነግ ምንም አይነት መፍትሄ መጠበቁን ትተህ እራስህን በሚገባው አደራ,ጥላቻ
ወራሪ ጋላ ከአገራችን ውጡ,ጥላቻ
ወሬ ወሬ ወሬ ሰለቼን ፓስተሩ በምላሱ ለገናው አሳምናለሁ ያለ ጋላ ፓስተር,ጥላቻ
ወያኔ ማረኝ በዋና ከተማ በኦሮም እያወሩ ደፈሩ በእነጀዋር ትእዛዝ በእነ በቀለ ገርባ ትእዛዝ እስከ አሁን እንኳ አላወገዙም ይህን ግዜ ኦሮሞ ቢሆን ስንት በለፈለፈ ስለዚህ ሌላው ብሄር ሊታረድ ነው ና ግባ ወያኔ ገና ስልጣኑን ሳይዝ ጀዋር ጨረሰን ኑልን ትግሬ ወንድሞቻችን ናችሁ አስታጥቁን ልክ እናስገበዋልን ይህንን ጋላ እውነታችሁን ነበር እናንተ ገንዝብ ወስዳችሀል እናውቃለን አሁን ግን በግሩፕ ጋላ ደፈረ በዋና ከተማ ተዋረድን,ጥላቻ
ውቃቢያም ጋላ ለአቅመ መሪነት አልደረሰም,ጥላቻ
ዝም ብላችሁ ክልል የሚባለውን ነገር አፍርሱና ኢትዮጵያ በሉና ገላግሉን እሄ ግራ የገባው ህዝብ በየግዜው እየተነሳ የሚያነሳውን ጭቅጭቅ መስማት ስልችት ብሎናል,ጥላቻ
የኢትዮጵያ ጠላት ማነው ጋላ ኩበታም ዘሮቼን ደቡብ በገጀራ አርዳችሁ በላችኋቸው ጥንብ ጋላዎች,ጥላቻ
የጋላ ስብስብ ምን እያለ ነው,ጥላቻ
ያልበሰለ ጋላ እና ፂላ ብቻ,ጥላቻ
ያሳዝናል ከተማረ ጋላ ያበደ አማራ ይሻላል,ጥላቻ
ይሄ ዶማ ጋላ,ጥላቻ
ይሄ ግማታም ጋላ ሁላ ሸገርን አቆሸሸብን,ጥላቻ
ጋላ ላይ ሙድ ያዛችሁበት ዛሬ ልቤን አራሳችሁት ጋላ ማለት እንደሰው ማሰብ የማይችል ማለት ነው ጋላ አማራ ተበዱ ጋላ አእምሮው በበረኪና ቢታጠብ አይገባውም ድከሙ ቢላችሁ ነው ጋላ እንደቦቲው የገማ ነው,ጥላቻ
ጋላ ወደ ላቲን ጋላ የት አባህ የምታውቀውን ሀዘን ነው የምትቀባጥረው ጋላ ገዳይ ነፍጠኝነት አባይ ትግራይ ጋላ ኢትዮጵያን አታውቃትም እናንተ ስደተኛ ናችሁ እርጉሞች ክፉ ሌባ ናችሁ ውሸታም መቸም የማይሰለጥኑ ጋላ ፈርቶ ካሮጠ ጥፋቱ ከዝንጀሮ ይብሳል ጋላ ማለት ጭቃ ማሀይም ነው ጋላን ከነካችሁ ግማቱ ይበክላችኅል እያሉ ነው ጋላን ወደ ማዳጋስካር ሸኛቸው እነዚህ የቀንድ ከብቶች,ጥላቻ
ጥንባታም የጋላ ጥርቅም አብይዬ እና ለምዬ እውነት ከዚህ ህዝብ ነው የወጡት,ጥላቻ
ፋራ ጋላ,ጥላቻ
ሁለቴ ሙተናል እናስታውሰዋለን ያደረሳችሁብን በደል እናንተ ገላችሁናል በቸር እንመልሰው ጋላ,ጥላቻ
ሁላቹም አማራ በጋላ ላይ ዝመቱ,ጥላቻ
ሄይ ምኒሊክ ያልከው ጋላ ምኒሊክ ምን ታሪክ እንዳለው ጠይቅ,ጥላቻ
ለሀጩ ጋላ ገምተሀል ታጠብ,ጥላቻ
ለሁሉም ነገር አንተ አብይ ለማ ጀዋር በቀለ ገርባ ተጠያቂ ናችሁ ጋላ የጋማ ከብት ነው,ጥላቻ
ለመላው ጋላ ጋብዙልኝ ሸታታ,ጥላቻ
ለመፈንቀለ ጋላ እየተዘጋጀን ነው,ጥላቻ
ለምን ጋላን አያስታጥብም,ጥላቻ
ለጋላ ስልጣን መስጠት ማለት ለህንፃ ልጅ በብርጭቆ ውሀ መስጠት ማለት ነው,ጥላቻ
ለጋላ ቦታ የለንም  ገደል ይግባ,ጥላቻ
ለጋላ ነው ለጋላ ንገር ለጋላ እኔ ብቻ እበዳችሀለሁ ለጋላ የሆነች ኢትዮጵያ ባናቷ ትተከል ለጋሎች ንገራቸው,ጥላቻ
አብይ ጋላ,ጥላቻ
ላይን ጥራት ጋላን ማጥፍት,ጥላቻ
ጋላ ቦቲ ብዛት ጥራት አይሆንም ኮተት ላጋ,ጥላቻ
ሌላ ስድብ የላችሁም እንዴ ጋላ ቦቲ ቦቲ ጋላ ጋላ ጋላ ቦቲ ቦቲ ሌላ ስድብ የላቸውም እንዴ ግምብ እራስ ሁላ,ጥላቻ
ሌባ ጋላ,ጥላቻ
መሀት ይጨርሳቹ ጋላ ባርያ,ጥላቻ
መሞትህ ስለማይቀርህ ጨፍር ጋላ,ጥላቻ
መቸ እንደ ስድብ ቆጥሬ እኔስ ጋላ አልኩት ባህላችን ስው በመጣበት አካባቢ ስለምንጠራ ነው ደግም የእውነት የአያቴ ባርያ የጋላይቱ ልጅ እያለ ነበር የሚምል እንደ ስድብ አስቤውም አላቅ,ጥላቻ
መቸም ቢሆን ጋላ አይሰለጥንም,ጥላቻ
ምንድነው ይሄ ሁላ ጋላ,ጥላቻ
ምድረ በክት ጋላ,ጥላቻ
ምድረ ጥንብ ጋላ ተገንጠሉ በጣም አስጠላችውን ቱፍ ወሰክ አለ አረብ,ጥላቻ
ምድረ ጨሌያም በክት ጋላ,ጥላቻ
ምድረ ጨሌያም በክት ጋላ,ጥላቻ
ሞት ለጀዋር ሞት ለበቀለ ገርባ ሞት ለቄሮ ሞት ለጋላ ሞት ላንተ እናታችሁ አፈር ትብላ,ጥላቻ
ሞት ለጋላ ለተሰደዱት በውሸት ኢትዮጵያ አመት እድሜ ያላት አስመስለው ለሚያውሩት ያኔ ስለተሰደዱት,ጥላቻ
ሞት ለጋላ ሞታ ለከብቶች ሞት ለጁሀር ሜጫ,ጥላቻ
በጋላ በአህዮች ላይ ልብሳቸውን ጎዘጎዙለት አህዮች ላይ ተቀመጠ ከሌሎቹ እንስሳት አብሮ,ጥላቻ
ባለፈው ኦረሞና አማራ አንድ ሆነናል ስትሉ ነበር የአማራ ተረት ልክ ነው ጋላ ክዳቱን ቱሊ ግማቱን አይለቅም በአድን ህውሀት ኤርትራና ሁሉም የሴምዘር እንደመር,ጥላቻ
ባንድራው የኦነግ ኦነገ አውሩ ምድረ ጋላ,ጥላቻ
ባክህ ዝም በል መግስት የለም እራሳቹን ዋሹ ፈጣሪ መልስ አለው ያተን ቁጥጥር ብላው ጋላ ጋላ ነው ስገጤ,ጥላቻ
ባይቆምስ አንተ ጋላ,ጥላቻ
ብሎ ሲሰድብህ ጎንደሬ አህያ ነው ብለህ ስደበው ወሎ ጋላ ነው ሲልህ ጎጃሜ ቡዳ ነው ብለህ ስደበው የዛን ግዜ መከባበር ይመጣል ወሎ የጥበብ ሀገር ነው ሲልህ ደግሞ ጎንደር የቴዎድሮስ ሀገር ነው ብለህ አሞግሰው ወሎ የታሪክ ሀገር ነው ሲልህ ደግሞ ጎጃም የጊዩን መገኛ ምርጥ ሀገር ነው ብለህ አሞግሰው ካዋረደህ አዋርደው ካከበረህ አክብረው,ጥላቻ
ቦቲያም ጋላ,ጥላቻ
አሁን ማጨብጨቡ ምን ትርጉም አለው ሰገጤ ሁላ አቃጠላችሁት ምድረ ጋላ,ጥላቻ
አሁን ነጥብ አመጣህ እነጅዋር ገዢ ቢሆኑ ምን ልንሆን ነው ጋላ ጨረሰን ማለት ነው,ጥላቻ
አሁን አሰኪ ምን ማለት ነው እራሳቸው አፈናቅለው ቂቤ ይቀባሉ ጥንብ ጋላ,ጥላቻ
አንተ ውሻ ሰው ከሞተ ወድያማ ከጎናቹህ ነን ማለት ትቹሉበታላችሁ ያዘነ ለመምሰል ሞት ለናተ ይሁን አንድነት እንደመር እያላችሁ የምስኪኑን ደም አፈሰሳችሁት ከተደመርክ እረብሻ ሲነሳ ህዝብ ሲነቀል የታል ሰራዊቱ ኢትዮጵያ ሰራዊት የለም አተ ዘረ ጋላ ቆሻሻ ሆነ ሆነ ይላል እዴ የሰው ነፍስ አልመሰለውም እግዚአብሄር ይፈርዳል ሰውን እንዳስበላችሁት እግዚአብሄር ሆይ ህዝብህን ሰብስብ አንተው ድረስልን,ጥላቻ
አንዱ ጋላ ኢትዮጵያ መፍረስ አለባት ሲል በጭብጨባ አዳራሹን አጋዩት ሀሀሀ,ጥላቻ
ኣሁን ትግራይ ሀገር ሆናለች እና እንደ ድሮ ቅማላም ጋላ እያልክ ማንቋሸሽ ኣትችልም,ጥላቻ
እሪ በከንቱ የጋላ እንብርት,ጥላቻ
እራስ አንዱ አዘራፊ ነህ ጥንብ ጋላ,ጥላቻ
ትግሬ ለማንም ጋላ ቦታ የለንም,ጥላቻ
ትግሬ ጋላ አህያ ወዘተ ነው የምንላቹህ ስትል ከየትም አላመጣችውም እየተነገራት ያደገች ይህንን ነውና እንደዚህ አይነት ደንቆሮ ህዝብ አይቸ አላቅም አለች እንጅ አሁን ተፅፎ እንደተሰጣ ከፋፍላ አልተሳደበችም የኩናማ ህዝብ ትግሬ አይደለም ማለት ከሆነ ለምን በትግራይ ስር ትግሬ ያልሆነውን ጨፍልቀው ይዘው ድፍን ሀገራችንን በዘር በጎሳ ከፋፍለው እንጀሚያጫርሱን ተመልከቱ አሁን በመጨረሻ ጊዜ የኩናማን ማህበረሰብ አጋፍጦ የአድዋንና የሽሬን ህዝብ ከአማራና ከኦሮሞ,ጥላቻ
እነዚህ ድንጋይ እራሶች መሀይም ጋላዎች,ጥላቻ
እና ግም ጋላ ማለት አንችልም ከእንግዲህ ጋላ በሚለው እንቀጥላለን እሽ,ጥላቻ
እናተ ጋላ ጅላፎ ገዳፋዎች ፋናዎች ዛሬም እውነቱ ትደብቃለክ ጋላችሁን ቂጡን ልጎርጉርለት,ጥላቻ
እናተም ጋላ ናችሁ,ጥላቻ
ቀዳዳ አላህ ውሸት ያውራህበት አደበትህን ይዝጋው ውሸታም ጋላ,ጥላቻ
እናንተ ደሞ ጋላ ጠገበ ህዝቡ እየመረረው ነው ብላችሁ ንገሩልን,ጥላቻ
ጋላ ጠገበ ህዝቡ እየመረረው ነው ብላችሁ ንገሩልን,ጥላቻ
እኔ መጀመሪያውኑ ሰላወኩት አልተደመረኩ አልተቀነስኩ አልናደድ አልደሰት የፈለገውን ቢያደረግ ዝም ነው እያንዳድሽ ያሸረገድሽ ያጨበጨብሽ ተቃጠይ ከጋላ ተደምሬ ከምቃጠል አላይም አልሰማም ብየ ቁጭ,ጥላቻ
እኔ ምንም ያልገባኝ እናተ ግማታሞች ምን ፈልጋችሁ ነው አማራ እኮ እንደናተ ቦቲ ሳይሆን የወርቅ ጫማ ነው የሚያረገው ግን የሚገርመኝ እናተ እኮ ሰለጠንን ብላችሁ እንኳ የተጠገነ ቢቲ ነው የምታደርጉት ለምን ሰውን ተናገሪ ታደርጋላችሁ የትኛው ወራሪ ነው እስኪ ጫማ ያለው እናተ ንገሩን ባይ አታፍሩም ነውር አታውቁም እሱን ብታውቁማ ያንድ እናት ልጆች ሁናችሁ እሄን ባላልችሁ ነበር በጣም የሚገርመኝ ግን ለምን እንደማትማሩ ነው እሄ በጣም ዝቃጪነት ነው ዝቃጭ ማለት ምን ማለት እንደሆነ ካውቅህ ሙላው,ጥላቻ
እኔ አብይ ሚባል ቱልቱላ የዘመኑ ፓስተር ማየትም መስማትም አልፈልግ ጋላን ማደንቅበት ሳአት የለኝም ጋላ ካልጋ ሲሉት ካመድ ነው ዛሬ ጎበዝ ዋው ብለከው ነገ ወዲያ ሲያስጠላ ኤጪ ትለዋለክ ጋላና ህፃን አንድ ናቸው አቋም የላቸውም መሀይም
ጋላ ፈንዳ ምድረ ጭባ,ጥላቻ
እኔ ግን ለጋላ ማልቀስ አይታየኝም ጋላ እራሱን ለማግነን ሲል እንዲፈራ ሲል ጋዜጠኞችን ማሰሩ አይቀርም ይልቁንስ በመደራጀት ሊያስሩ የሚመጡትን ልክ እንደ ኮረኔል ደመቀ ልክ አስገብቶ መመለስ ነው,ጥላቻ
እንደ ጋላ በክት ህዝብ የለም መሀይሞች,ጥላቻ
እንዲህ ንገራቸው እንጂ አንተ ባለ ቅኔ ሰው ጋላ መቼ ይገባዋል ቅኔ ምድረ ሰገጤ ሁሉ ግማታም,ጥላቻ
እንዲህ ንገራቸው ጋላ መቼ ይገባዋል ቅኔ ምድረ ሰገጤ ሁሉ,ጥላቻ
እኛ የአማራ ልጆች ኩሩ ነን አባቶቻችን ብዙ ነገር አስረክበውናል ጋላዎች ምን አላችሁ,ጥላቻ
እኛ ደቡብ በኢትዮጵያ እና በአይን ቀልድ የለም እናተ ጋላ የወለደች የእናት ጡት የቆረጣችሁ እዩ ውበታችን,ጥላቻ
እናንተን በብሄር ሳንለያቹ መሪዎቻችን ብለን አከበርናችሁ ቄሮና ጃዋር የሚሉት የመንጋው አለቃ ለፍርድ ይቅረብ ይህ የማይሆን ከሆነ አማራ ትግሬ ሀረሪ ሱማሌው መላው ደቡብ ህዝቦች ጋላና ቄሮ ሊዘርፍክና ሊገልህ ተደራጅቶ ተነስቶዋልና በያለህበት ቅደመው የንፁሀንን ደም እንዳፈሰሰ አንተም የኢትዮጵያ ህዝቡ የርኩሱን የጋላን ደም በያለህበት አፍስስ እግዚአብሄርም ቅር አይሰኝም,ጥላቻ
እከካም አንቺ ነሺ ጋላ አብይ ምርጥ ሰው,ጥላቻ
ከጋላ ጋ አንነጋገርም,ጥላቻ
እውነት ሴቶች ግን ሰው አይደሉም,ጥላቻ
ጋላ እኮ የዋህ ነው ከብት,ጥላቻ
በሆነ አጋጣሚ አንጎላ ሜርኬል ኢትዮጵያ ሆኛለሁ ብትል እንዲሁም የብራዚሏ እኔም ኢትዮጵያ ነኝ በሉስ እኮ አንድነን እንደመር ቢሉ አብይ ፋርሽ ይሉታል,ጥላቻ
እይ ወንዝ አምላኪ ጋላ,ጥላቻ
እድሜልኩን በወያኔ ሲረገጥ ኖሮ ዛሬ ሊፈነጭ ይመጣል አይቆይም ይሄ ጋላ ተመልሶ ወደ መጣበት ይሄዳታል,ጥላቻ
ፍትህ በጋላ ለተያዙት ከብቶች,ጥላቻ
ለነፍሰ ገዳይ ወያኔ ደም ለጠማው የቀን ጅብ ወያኔ ቅማላም,ጥላቻ
ቅማላም መለስ ነብሱን አይማር,ጥላቻ
ቅማላም ቆርቆሮ ሁሉ ጉዳችሁን ሁሉ እንዳያወጣባችሁ መቅደማችሁ ነው እንጅ ራሱን ማንም አያጠፋም እንኳን እሱ ጅቦቹም ራሳቸውን አላጠፉ ለማንኛውም ከህሊናቸው ፍርድ አያመልጡም ሁለም የጁን ያገኛታል ጊዜው ቢዘገይም ቅማላም ትግሬ ቅማላም ትግሬን አንዲህ ያካብድብን ቅማላም ወያነዎችን መንጥሩልን ቅማል የናትህ ነው,ጥላቻ
ቆርቆሮ ቅማላም ሁላ ምን ስለሆኑ ነው እሱ በአከባቢያቸው የሚመደቡት,ጥላቻ
ተሰርቶ ይለቅና ከነፋብሪካቸው እዛው ይቀበሩበታል አመት ሙሉ ደም ያፈሰስንበትን ቦታ ቅማላም እየተዝናናበት ዝም ብለን የምናይ አይምሰልህ ቀኑ ደርሷል አማራ ያለ ርስቱ ማንነት የለውም አማራ የአባቶቹን አደራ አይበላም,ጥላቻ
አብን ቁጭ ብለክ ምርጫ አሸንፌ ህዝቤን አገለግላለው ካልክ ጅል ሞኝ ነክ ይልቅ ሌላ አማራጭ ፈልጉ የናተ የሀዘን መግላጫ ምንም አይፈይድልንም መግለጫው የሞቱትን ወድሞቻችንን አያስመልስልንም አጉል ሰብአዊነት እያላችሁ ወገኖቻችን ታስረዋል በሰብአዊነት ስነ ልቦና በሀይማኖት ታስሯል በስማችን ተደራጅታችሁ ምንም እማፈይዱ ከሆነ ተበተኑ ብአዴን ጠላታችን እደሆነ እያወቃችሁ ህዝቡን አስተባብራችሁ ህዝቡ እዲያምፅ ማድረግ ሲገባችሁ አብረን ከብአዴን ጋር እሰራለን እያላችሁ አማራን የወላድ መካን ታረጉታላችሁ ህዝብ የራሱን እርምጃ ልውሰድ ሲል እናተው ወገኖቹ አክቲቪስቶች አፋፉን ትሉታላችሁ ታወግዙታላችሁ ባልሰራው ሀጥያት አማራ ላይ ጩኅቱ ይበረክታል ታሳቅቁታላችሁ ትከፋፍሉታላችሁ ብአዴን በዩንቨርስቲው በመከላከያ ያስቀጠቅጠዋል ያፍሰዋል ያስረዋል እናተ ሁሌ መግለጫ ቅማላም ትግሬ ደሞ ጠብቁ,ጥላቻ
የካንጋሮ ምክር ቤት ከዶክተረ አባይ በሰተቀረ ሌላው ደንቆሮ ቅማላም ነው,ጥላቻ
የጣሊያን ርዝራዦች ቅማላም,ጥላቻ
ቅማላም ወያኔ ዘለላም ከኤርትራ ራስ አትወርዱም,ጥላቻ
ህዝብ ባለበት ሀገር ቅማላም ትግሬ ኢትዮጵያን እያሰደቡ እና እያስናቁ ኢትዮጵያን ወክለው መወዳደር አይችሉም ደደብ ቅማላም ትግሬ ኢትዮጵያን አይወክልም አከተመ,ጥላቻ
ለህዝቡ እንታደስ ይላሉ ሀሀ ቅማላም ትግሬ ጋር እድሳት የሚያስፈልጋቸው በየአመት አንድ ቀን ነው እንዴ መኪና ብዙ እየሰራ የሚታደሰው በየወሩ ነው ቅማላም ትግሬ ከጥፋት ውጭ ምን ቁም ነገር ሰርተው ነው የሚታደሱት ሀይለማርያም ደሳለኝ ሁሌ ሚዲያ ላይ ሲወጣ ቅማላም ትግሬ ሀገርን መምራት አለመቻላቸው ድክመታቸውን እየነገረን ነው የሚገኘውና ኑ ስልጣኑን,ጥላቻ
ለዚች ቅማላም ሰላይ ትግሬ  ምንም አይነት ኢንፎርሜሽን እንዳትሰጡ ቀንደም የቅማላሙ ትግሬ መንግስት ሰላይ ናትና,ጥላቻ
ሊያ ቅማላም ባንዳ ትግሬ የወያኔ ደጋፊ ናት,ጥላቻ
ሌላ ቅማላም ትግሬኛው የትግራይ ፓትርያርክ ሊሆንና ራሱን የኢትዮጵያ ፓትርያርክ ብሎ ሊሰይም ነው,ጥላቻ
ሌላው ቅማላም ትግሬ ከህዝባችን ላይ የሰረቀውን ገንዘብ ሰብስቦ ከነቤተሰቡ ሲውድን ገባ,ጥላቻ
ምደረ ቅማላም ትግሬ የዘረፈውን ይዞ ወደ አሜሪካ እየገባ ነው ከብቀላ ክንዳችን ግን ማምለጥ አይቻልም ሁሏም ቀኗን ትጠብቅ,ጥላቻ
ምድረ ቅማላም ትግሬ በለቅሶ ሲንጫጫ እንዴት ደስ ይላል ምድረ ቅማላም ትግሬ ምናባቱ አገኘና ነው የሚጨፍረው በችግር እየተፈጁ ነው ምድረ ቅማላም እዛው ቁልቋልህን እና አንበጣህን ጋጥ ምድረ ቅማላም የሰው ልክ አያውቅም ምድረ ቅማላሞች,ጥላቻ
ምግዜም እስልምና አሸናፊ ነውና አሸናፊ አይወደድም የግማታም ዘር ማለት አንች ነሽ ቆሻሾ ተግማሚ ቅማላም ለዚህ ከመሮጥ ቅማልሽን አራግፊ እንዳች እኛ ሞስሊሞች ባጭር አንጃጃልም ጀዝባ,ጥላቻ
ሞት ለጠላት ቅማላም ትግሬ,ጥላቻ
ቅማላም ትግሬ ተቃጠል እነጂ አታገኝኝም ትላለች የሸበል በረንታዋ አማራዊት ቆንጆ አማራ መሆንን የታደሉ ብቻ የሚያገኙት ማንነት ነው አማራዊት ቆንጆ አማራዊ ልጅ ለመውለድ አማራዊ ወንድ ታግባ ካለበለዚያ ዘር ይበላሻል እአማራውያን ልዩ ነን,ጥላቻ
ቅማላም ትግሬ አማራ ውስጥ ምን ያደርጋል አማራ የራሱ የሆነ ጦር ያስፈልገዋል አብን አሁኑኑ አስቡበት ዲሞክራሳዊ ብሄርተኛ ምናምን እንዳትሉ ብአዴንን አፍርሳችሁ እናንተ ስልጣኑኑ ተቆጣጠሩ ከጎበዝ አለቃ ጋር ሆናችሁ ቅማላም ትግሬ እስከሚወገዱ እንታገላለን ቅማላም ትግሬ እስከሚወገዱ እንታገላለን አማራ ጀምሮ የሚያቆመው ትግል አላየንም ቅማላም ትግሬ ሽንታም አባታቹውን ጠይቁ አማራ ጣልያንን አስቀዝኖ እንደሸኘው ቅማላም ትግሬ ከማገባ ገደል ብገባ ይሻለኛል እአማራዊ ልዩ ነን ቅማላም ትግሬ ከምድር ገፅ ያጥፋቸው ቅማላም ትግሬ ከአንበጣ በልነት ወደ ጅብነት ቅማላም ትግሬ ከአንበጣ በልነት ወደ ጅብነት በዱሮ ዘመን ትግሬ ለሌሎች ተገዝተው አማራን ይወጉ ነበር ለምሳሌ ብንወስድ ዮዲት ጉዲት አማራን በወረረች ጊዜ በዚያን ዘመን ከአረብ አገር መጥተው በሰሜኑ የአማራ ግዛት በቀን ስራ ይተዳደሩና አማራንም ያገለግሉ የነበሩት ትግሬ ለጥላት ዮዲት ተገዝተው የሷ ወታደር ሁነው ዙረው በክፉ ቀን ያስጠጋቸውን አማራን ወግተዋል ቅማላም ትግሬ ከጥፋት ውጭ ምን ቁምነገር ሰርተው ነው የሚታደሱት ቅማላም ትግሬ የት እንደምታሩ እናያለን ማንኛውም የኢትዮጵያ ህዝብ የትግሬን ተማሪዎች ካገኛቸው እረዷቸው ትግሬ ማለት የቀን ጅብ ቡዳ ህዝብ ነው ትግሬ ማለት አንበጣ ቆርጣሚ ውሻ ህዝብ ነው ትግሬ ማለት ደደብ መሀይም ህዝብ ነው ትግሬ ቆሻሻ አህያ ህዝብ ነው ቅማላም ትግሬ የትግራይ ፍራፍሬ ሲሰበስብ አሁንማ ወደ እአገር መጥቶ ጤፋችንን እየሰለቀጠ ነው ቅማላም ትግሬ የኢትዮጵያ ጠላት ናቸው ቅማላም ትግሬ ጋር እድሳት የሚያስፈልጋቸው በየአመት አንድ ቀን ነው እንዴ  ቅማላም ትግሬ ጦርነት እኮ ከጀመሩ ቆይተዋልቅማላም ትግሬ አማራ ውስጥ ምን ያደርጋልአማራ የራሱ የሆነ ጦር ያስፈልገዋልአብን አሁኑኑ አስቡበትዲሞክራሳዊ ብሄርተምናምን እንዳትሉብ አዴንን አፍርሳችሁ እናንተ ስልጣኑኑ ተቆጣጠሩ ከጎበዝ አለቃ ጋር ሆናችሁ ቅማላም ትግሬን ያፈናቅሉና ቅማላም ትግሬ ተፈናቀለ ብለው  በየክልሉ እየዞሩ ስለአቡናረጋዊ እርዱን እያሉ ነው ከሱማሌ ክልል ሚልዬን በልመና ተገኘ,ጥላቻ
ቅማላም አናሳ አጋሜዎችን ከማናናቅ ይልቅ የራሳችን ስራ መስራት ነው ተገቤ መልስ ሊሆን የሚችለው አጋሜዎች በእኛ ሜዳ ላይ ነው እየተጫወቱ ያሉት አንተም ሆነ እኔ በአጠቃላይ ሁሉም አማራ ጨዋታውን የመቀየር የመዘወር ግዴታ አለብን ብየ አምናለው ቅማላም ዘረኛው የደደቢቱ ደደብ ህወሀት ወያኔ በግድ የራያን የቆቦን ህዝብ ትግሬ ሁን እንዴት አይነት ማፈሪያ አይናውጣዎች ናችሁ ባካችሁ እውነትም ተራራን የሰረቀ ሌባ,ጥላቻ
ቅማላም የአብን የዘር ፖለቲካን መውገዛ እንዴኔ የዜግነት ግዴታየ ነው,ጥላቻ
ቅማላሞች የህጻናት የባሪያ ንግድን አመጡብን ቅማላም የተጋጠው መሬት ድርቅ ረሀብ ድህነት ወዘተ ይመጣል ትግሬ የረገጠው መሬት በእግዚአብሄር ይረገማል ትግሬ ይሉኝታ ቢስና ሸርሙጣ,ጥላቻ
በምንም አግባብ እርጥብ ቄጤማን እና በልቡ ምስጋናን ይዞ ባዶ እጁን የወጣ ህዝብ ላይ በየትኛውም መልኩ ተቃውሞ ቢያሰማም እንኳን ጥይት መተኮስ ከህግም ከሞራልም በታች የሆነ ኢሰብአዊ ድርጊት ነው ቅማላም ሁላ በእጥፍ ትከፍላታለህ ያጠፋውን ነብስ,ጥላቻ
በኢትዮጵያ የምታላግጥ ልጋጋም ቅማላም ትግሬ,ጥላቻ
በኢንሳኮሎፒዲያ ላይ የሸዋ ታሪክ እንደዚህ ተደርጎ ተቀምጧል የአማርኛው ትርጉም ስህተት አለው ተርጓሚው አሳስቶ የተረጎመበት ብዙ ምክንያት ይኖረው ይሆናል ወይ ቅማላም ትግሬ,ጥላቻ
