Content,Label
የትላንቱ የኢሳትን ሬድዮ አዳመጣችሁ እንዴት የሚሰለች መሰላችሁ በመጀመሪያ ህቅ እስኪለን ድረስ እግር ኳስ አወሩብን ከዚያም ስለዘፈን አንስተው ጆሲ ጎሲ ስለሚባል ቅማላም ትግሬ መስበክ ጀመሩ,ጥላቻ
የትራፊክ አደጋንና ሆዳም ትራፊክን በጋራ እንከላከል እንክረም ብቻ ትላንት አመሻሽ ለይ ስድስ ኪሎ የሰማዕታት ሀውልት አደባባይን ልብ ብሎ ለተመለከተ የክፍለ ሀገር አውቶብስ,ጥላቻ
የትግሬ ቅማላም አያስፈልገንም አንበጣ ቆርጣሚ,ጥላቻ
የትግራይ ሴቶች ሸሌነት ባህላቸው ነው,ጥላቻ
የትግሬ ባለስልጣን ሳይሆን የአማራን ህዝብ እየገደሉ ያሉት የትግራይ ህዝብ መሳሪያ ታጥቀው መተው ነው አማራን እየገደሉ የሚገኙት ቅማላም ትግሬ ሁሉም ጠላታችን ናቸው,ጥላቻ
የትግሬ ፖሊሶች ወጣቶቻችንን በዱላ ሲጨፈጭፉ ይታያል እንዴት በገዛ መሬታችን ከመቀሌ የመጣ ቅማላም ትግሬ እንደዚህ ይደበድባችኋል,ጥላቻ
የነሱ ትውልድ ደረቅ ሆኖ ሲጨርስ የኛን ትውልድ ሆዳም ብቻ አደረጉት,ጥላቻ
የአህያ ስብስብ እድሜ ልካችሁን እያስለቀሳችሁ የምትኖሩ እንዳይመስላችሁ አንድ ቀን አይቀርላችሁም,ጥላቻ
የአማራ ህዝብ ጠላት የሆኑት ቅማላም ትግሬዎች እየገደላቹ እሬሳቸውን ለጅብ አስበሉዋቸው ድል ለአማራ ህዝብ ሞት ለቅማላም ትግሬ,ጥላቻ
የአማራ ትግል እስከ ማንነት ነፃነት ይቀጥላል ከአሁን ወድያ አማራ በጠላት ቅማላም ትግሬ አይገዛም ቅማላም ትግሬን ግደሉ,ጥላቻ
የአሩሲ ያልሰለጠነ ቁላ ቆራጭ ኋላቀር የበሰበሰ ህዝብና የትግራይ ቅማላም ለማኝ ህዝብ ቢሰድበውም የኛ ንጉስ የሸዋው ሃይለስላሴ አለም ሁሉ ያከብረዋል,ጥላቻ
የአዲስ አበባ የቤት ተከራይም እንዲህ ነው የማንም ፈሳም ማሳበብያ,ጥላቻ
የአጋሜዋ ሸርሙጣ ንግስተ ሳባ ቁላ ፍለጋ ኢየሩሳሌም ድረስ ሄደች ባሁኑ ጊዜ ቢሆን ኖሮ ኤድስ ይይዛት ነበር ,ጥላቻ
የኢሳት ማሰባሰቢያ ምሽት ውስጥ ኤርትራዊው ምናባቱ ይሰራል መቼም አማራ ሲባል አንድ ቅማላም ትግሬ ካላስከተለ ድግሱ የሚያምርለት አይመስለውም  ትግሬ ሲያይ ጭራውን ይቆላል,ጥላቻ
የኢትዮጵያ ህዝብ በጠላቱ ቅማላም ትግሬ የተቀማውን መሬት ተመልሶ እያቃጠለ ባለበት ግዜ ማነው የሚገዛው ግን የኢትዮጵያን ህዝብ ላይ ተዘርፎ እና አፈናቅሎ የሚገነባ ነገር ሁሉ ይወድማል  እየወደመም ይገኛ,ጥላቻ
የኢትዮጵያ ጠላት ቅማላም ትግሬዎች ብቻ ናቸው የኢትዮጵያን ጠላት ቅማላም ትግሬዎች ቆመው ህዝብን ያስነጫሉ ይነጫሉ ያነጫጫሉ ይፈጃሉ ያስፈጃሉ በመጠጥ በውስኪ ደርድረው ዝሙት ያስፋፋሉ የኢትዮጵያን ጠላት ትግሬዎች የኢትዮዽያ የምንጊዜም ቀንደኛ ካንሰር ጠላት ቅማላም ትግሬዎች ብቻ ናቸው ,ጥላቻ
የእናት ጡት ነካሽ በአማራ ወንድሞቹ ሬሳ ላይ ሲጨፍር ያመሸ ሆዳም አርቲስት ,ጥላቻ
የኢትዮጵያ አትሌቶች የነጻነት ትግሉን ወደ አለም አቀፍ መድረክ ይዘውት ብቅ ብቅ ማለታቸው እንድንኮራባቸው ያደርገናል ሆዳም አርቲስቶች የወያኔ ካድሬ ለመሆን ቀን ከለሊት ይሸረሙጣሉ,ጥላቻ
የእነዚህ ሆዳም ኮሚቴዎችን አስቂኝ ምክንያት ለመስማት ጓጉቻለሁ,ጥላቻ
የወልቃይት ህዝቦች ቅማላም ትግሬዎች አይደለንም እኛ ኢትዮጵያን ህዝቦች ነን ወያኔዎች በግድ ቅማላም ትግሬ ካልሆናችሁ እያሉ ይገላሉ ያፈናቅላሉ ያስራሉ,ጥላቻ
የወያኔ ሆዳም ባለስልጣናት ጉድ አያልቅም ሬድዋን ሁሴን እና ብልግናው ,ጥላቻ
የወያኔ አለቅላቂ ሆዳም በጥላሁን ገሰሰ ስም ለወያኔ የሚያቃጥር ቴሌቪዥን ከፍተህ የጥላሁን ገሰሰን ስም ያቆሸሽከው አለቅላቂው አንተ እንደውም በህይወት ቢኖር ያፍርብህ ነበር ማፈሪያ ሆዳም,ጥላቻ
የወያኔው አሻንጉሊት ተፈራ ዋልዋ ሚስቱ በትግሬ ፖሊስ ስትመታ አልቅሶ ዝም አለ የትግሬ ተወላጅ ያልሆናችሁ ሆዳም የወያኔ አሻንጉሊቶች ነገ ይሄ እናንተንም የሚጠብቅ እጣ ፋንታችሁ ,ጥላቻ
የዘመኑ ጀግና ለመባል ነገስታቶችን መስደብ ነው እንዴ ክራይቴሪያው እኔ ማ ነኝ ብላችሁ ጠይቁ ምድረ ፈሳም ፈሪ ትውልድ ከወያኔ ሮጠው በረሀ አቋርጠው በመከራ ፈረንጅ ሀገር ይደርሱና ልክ ሲያገግሙ አፋቸው ይከፈታል ,ጥላቻ
የዚች የትግሬ ሸርሙጣ ታሪክ አዳምጡ አጋሜዎች ከአስመራ ሲባረሩ ወደ እኛ አገር መጥተው ህዝባችንን በሽርሙጥና አበላሹት ይህንን እውነተኛ ታሪክ ሁሉም ማዳመጥ አለበት,ጥላቻ
የደህንነት ጥበቃ ቢደረግለትስ ከታሰበበት መደብደቡ መች ይቀራል ምድረ ቅማላም ሁላ ባለፈው የባህርዳርን ክለብ መቀሌ እስታዲየም ላይ ደብድበዋል ምላሹን ይጠብቁ ,ጥላቻ
የደርግ መንትያ ወንድም ቀስ እያልክ የኔ ተብታባ ቅማላም ወያኔ ቀስ በል አየ ተደብድቦ ተርግጦ መገዛት የለም ከእንግዲህ ኢትዮጵያ ላይ እሽ አቶ ደንቆሮ ወያኔ ድሮ ቀረ በደርግ,ጥላቻ
የደነዘዘ ህሊና በማን አለብኝነት የተወጠረ ልብ እናንት ሆዳም የምድር ሸክሞች የእናቶች እንባ እሳት ሆኖ ይፍጃችሁ,ጥላቻ
የደከመኝ ስራ ቢኖር ሰውን ብሎክ ማድረግ ነው ዛሬ ከነጋ እንኳን ቅማላም ትግሬዎችን ብሎክ አደረኳቸው ምናለበት ቅማላም ትግሬዎችን በሙሉ ብሎክ አድርጎልን እፎይ ብንል,ጥላቻ
የጃንሆይ የልጅ ልጅ ነው ሚስቱ የሸዋ አማራ ነበረች አሁን ግን ሚስቱን ፈቶ ቅማላም ትግሬ አገባ ክብሩን በገዛ እጁ አዋረደ ውሻ የሆነ ሰውዬ ,ጥላቻ
የገደለው ቅማላም ትግሬ መሆኑን የገዛ የትግል አጋሩ አጋለጠው,ጥላቻ
የግዜ ጉዳይ እንጂ ቅማላም ትግሬ ከአማራ ደቡብ ኦሮሞ ጋንቤላ ተጠራርገው የሚባረሩበት ግዜ እሩቅ አይደለም,ጥላቻ
የጠላት ቅማላም ትግሬ ተባባሪ የሆኑት አማራ እና ኦሮሞ ይገደሉ,ጥላቻ
የፌስ ቡኩ የወያኔ ሆዳም ተላላኪ እንኳን ወደቀድሞ የውሽት ስራህ ተመለስክ እኔ የምለው ይህ ሰው ኢትዮዽያዊ ነው ለኔ ጥያቄ ውስጥ ነው,ጥላቻ
ይሄ የማይታመን ነው ግን እውነት ነው አንድ የኤርትራ ቅማላም የትግሬ ሸሌ ልጆቿን ይዛ ወደ ሲዊዝ በመሰደድ አንድ ትንሽ መንደር ውስጥ እየኖረች ነው ትግሬዎችን,ጥላቻ
ያልወለድኩት ልጅ አባባ ቢለኝ ሆዴን ባር ባር አለኝ እነዚህ ቅማላም ትግሬዎች ኤርትራውያን የኦሮሞን ዘፈን ሲዘፍኑ ተመልከቱ እነሱም እንደ ትግሬዎች የኦሮሞን ቡናና ,ጥላቻ
ያቺ ሸርሙጣ ሀገር ትሆናለች ,ጥላቻ
ያቺ ሸርሙጣ እናቱ ትዘቅዘቅና ባንዲራችንን እንዴት እንደዘቀዘቀው ተመልከቱ ,ጥላቻ
ይሄ ሆዳም ጋዜጠኛ ለግብጾች የፃፈው ደብዳቤ,ጥላቻ
ይሄ ማፍያ ዘራፊ ሆዳም የተፋትን መልሶ የሚልስበት ቀን ተቃርባለች  ,ጥላቻ
ይሄ ሰውዬ ወይ ትግሬ ወይም ኤርትራዊ ነው ትግሬ ለትዳርና ለሴት ምንም ክብር የለውም በሬ ካራጁ ይውላል እንደሚባለው ይህቺ የዋህ ፈረንጅ ብዙ አመት ይህንን ቅማላም ትግሬ,ጥላቻ
ይሄ የታሪክ አተላ የዘረኞች እናት አይን ያወጡ ሌቦች አባት መለስ ዜናዊ ,ጥላቻ
ይሄ ገመድ አፍ ሆዳም መዋሸት ልማዱ ነው,ጥላቻ
ይሄ ጎንደሬ እኛ አማራዎችን ክዶ ከትግሬ ጋር ሲሞዳሞድ አሁን ምን ይዋጠው ይህ ለሌሎች ሆዳም አማራዎች ትምህርት ነው ,ጥላቻ
ይሔ ጸረ አማራ የሆነ ሆዳም መናፍቅ ግለሰብ ስንቱን እንዳላስገደለ እንደሱ አይነቱን ሆዳም ሀይለ ማሪያምን ሲወቅስ አያፍርም ,ጥላቻ
ይሄን ውርደት ተከትሎ ወያኔዎች በጭልጋ እና አካባቢው ብጥብጥ ለማስነሳት ደፋ ቀና እያሉ ሲሆን አንዳንድ አማራ ክልል ያሉ ሆዳም የወያኔ ኤጀንቶችም በሶሻል ሚዲያ እያራገቡ ይገኛሉ  እበላ ብዬ ተበላሁ ሆኖባቸው,ጥላቻ
ይሄን ባንዳ ሆዳም ትገሬ ቄስ ስሙት ጥያቂውንም ስሙት እነዚ የሰይጣን ተላላኪዎች ናቸው እንጂ የእግዚአብሄር አይደሉም ከወያኔ ጎን ደም የሚያፈሱ ጭራቆች ናቸው ,ጥላቻ
ይሄኛው ደግሞ ስለ የጻፈውን ተመልከቱ ምድረ ቅማላም ሁሉ የማንንም ፎቶ እየለጠፈ የኔን ስም ይሰጠዋል,ጥላቻ
ይሄኛው ደግሞ ሌላው ቅማላም ትግሬ ነው ቦስተን ማራቶን ላይ ላፈነዳው ቴሬሪስት አግዞ መረጃ ከፖሊስ ስለደበቀና ስለዋሸ ፍርድ ቤት ቀርቦ ጥፋተኛ ተባለ ,ጥላቻ
ይህ ሁሉ ጣጣ ስለአንድ ቅማላም ኤርትራዊ ለመናገር ነው ሰውየው ወደ ኢትዮጵያ እንደማይመለስ በመናገሩ ደስ ብሎኛል ,ጥላቻ
ይህ ሆዳም ዲያስፖራ ሲመጣ እንዴ ሌሎቹ ሆዳም የወያኔ አርቲስቶች ዶላር ለቅሞ እንዳይሄድ ዘመቻው ተቀጣጥሏል በየአገሩ ላይ የምትገኙ ኢትዮጵያውያኖች ይሄ የወያኔ አሻንጉሊት,ጥላቻ
ይህ ሰው ትክክለኛ ስሙ አንግሶም ጎይቶም ይባላል ህሊናውን ለጊዜያዊ ጥቅም የሸጠ ሆዳም ካድሬ ነው ,ጥላቻ
ይህ ነው ትክክለኛው ሆሳና ማርያም ባለፈው የተቃጠለው ወያኔና ሆዳም ግልገሎቹ አሁን እንደተቃጠለ አድርገው የኦሮሞን ህዝባዊ ንቅናቄ ለማፈን የሚያደርጉት ሙከራ ነው ሞት ለወያኔና ,ጥላቻ
ይህ ወሬ እውነት ነው እነዚህ ቅማላም ትግሬዎች በጣም ጠግበዋል ማንኛችሁም ብትሆኑ ለወደፊቱ በትግሬዎች ፊት ለፊት ተቃውሞ ስታሰሙ በኪሳችሁ ጩቤ ያዙ ልማታ ሲሉ አንገታቸውን ,ጥላቻ
ይህቺን ሸርሙጣ ትግሬ ተመልከቷት,ጥላቻ
ይህች ሰካራም የማታውቀው ሰው ቤት ውስጥ ዘው ብላ በመግባት ሶፋ ላይ ሴክስ ካላደርኩ በማለት ላለመውጣት የምታደርገውን ጥረት ይመልከቱ,ጥላቻ
ይህም ኑሮ ሆኖ ትግሬዎች ቀኑበት ምድረ ቅማላም ትግሬ ህዝባችንን ስቃይ ያሳዩታል ለዚህ ለምስኪን ህዝብ ተባብረን መነሳት አለብን  ,ጥላቻ
ይህንን ፎቶዎች አስተያዩዋቸው ቅማላም ትግሬዎች ከሳውዲ የተመለሱትን ወገኖቻችንን ላይ አፋቸውን በመሸፈን እንደሚያናግሯቸው ተመልከቱ ሳውዲዎች ሲያረጉ አይተው ነው እንዲህ,ጥላቻ
ይህንን ቅማላም ትግሬ ተመልከቱት ቀልድ ይመስላል ግን ሁልጊዜ የምናየው እውነታ ነው ይህንን ቦታ የሆነ ቅማላም ትግሬ ፈልጎታል ማለት ነው ይህንን እያየ ከትግሬ ወያኔ ጋር አብሮ የሚሰራ ሆዳም ኢትዮጵያዊ ካለ ከጣሊያን ባንዳ ጋር ከሰራው የመለሰ ዜናዊ አባት ያልተለየ ባንዳ ነው ,ጥላቻ
ይህንን ክሊፕ ከማየታችሁ በፊት እንዳይሸቷችሁ አፍንጫችሁን ያዙ ተመልከቱ የትግራይ ገበያ ቅማላም ትግሬዎች እንዴት እንደሚያስጠሉ ሰው አይመስሉም እኮ ይታያችሁ ይህንን የትግሬ ወታደር ተመልከታችሁት ኢትዮጵያ ውስጥ ያለውን የአረቦች የምርት ክምር እየጠበቀላቸው ነው ይህንን ቅማላም ትግሬ በአንድ ጥይት ግንባሩን ብሎ የሚደፋውና ክምሩ,ጥላቻ
ይገርማል ሆዳም ሁላ ግድ የለም የእዉነት ቀን ስትመጣ ሁሉዋንም እናወራለን,ጥላቻ
ይግባኝ ያልጠየቁትን ኮሚቴዎቻችን መንግስት ይቅርታ ለመጠየቅ እየተማፀኑ ነው ይለናል ይሄ ሆዳም የመንግስት ተላላኪ ሳምሶን ጋዜጣውን የሚገዛለት ሲያጣ ,ጥላቻ
ደና አድርጌ ልንፋህ ልብዳህ የአህያ ዘር ጠማማ ,ጥላቻ
ደም ያሰከራቸው መሪዎች ስለነገው የደም ጥማት መወያየታቸውን አበሰሩን ደም ደም ሸተታችሁ ግማታሞች ,ጥላቻ
ዳኞች ቅማላም ትግሬዎች ደም እና አጥንቱን ከስክሶ ባቆያት ሃገር የአማራ ደም ፈስሶ አይቀርም ምድረ ቅማላም ገገማ ሁላ ጊዜው ደርሷል,ጥላቻ
ድርጅታችን ብዙ አይነት ሆዳም ካድሬዎች አሉት ይህኛው አስቀያሽ ማስረሻ  ከሚባሉት ነው ድሮስ ሆዳም ምን አገር አለው ሆዱ ነው አገሩ ድጋይ እራስ ነህ የናቱን ጡት ነካሽ ዶር ምህረት ደበበ ፈሳም,ጥላቻ
ዶክተር ሃይሉ አርአያ የተባለው ቅማላም ትግሬ የአንድነት ፓርቲ የምክር ቤት አባል እንደሆነ ታውቃላችሁ አንድነት ፓርቲን የሚደግፍ አማራ ካለ ሞኝ ነው ትግሬ ካለበት ፓርቲዎች ዶክተር ቴዎድሮስ አድሀኖም ሻቢያን እንደመስሰዋለን ብሎ ፎከረ ሁለቱ ቅማላም ህዝቦች አይዋደዱም ቅማላም ትግሬ ለቅማላም ትግሬ እየተዛዛተ ነው እኛ ማድረግ ያለብን ጀነራሎች ቅማላም ትግሬዎች,ጥላቻ
ገና ሁሉም ይፈረጥጣሉ ምን ዋጋ አለው ሌባ ዘረኛ ሆዳም ባንዳ ስንለው የከረምነውን ሁሉ ጀግና ልንለው ነው,ጥላቻ
ገንዘብዎን ለወያኔ ባለስልጣናት ዝሙት መፈጸሚያ እንዳይውል በፍጹም በባንክ አይላኩ ገንዘብዎን በባንክ አይላኩ ገንገበት ጉፋያ እና ሆዳም ገደል ግቡ ገደል ግቡ ምደረ ኮተታም,ጥላቻ
ገዱ አንዳርጋቸው የሚባለው የብአዴን መሪ ተብዬው ቅማላም ባንዳ አማራውን የሚያስጨርስ የአማራ ጠላት ነው መገደል አለበት,ጥላቻ
ገዱ አንድ ነገር ሲመጣ የሚቀበል አዲስ ነገር የማይፈጥር ኋላ ቀር አማራን ለወያኔ የሸጠ ፈሪ ነው ገዱ ከስልጣን ወረደ ኖረ ሞተ ለምንም የማይጠቅም ሆዳም የሕወሀት የፖለቲካ ደላላ ጆከር አጀንዳ ነው ገዱ የሚባል የወያኔ ጡሩንባ ሞቾቹ ከጥፋት ሀይሎች ጋር ባይተባበሩ አይሞቱም ነበር አለን ሆዳም የወያኔ አሽከር ምን አንዲል ይጠበቅ ነበር,ጥላቻ
ጉራጌ ልብ የለውም ኤርትራ ወያኔ እንዲወድቅላት ትፈልጋለች ነገር ግን መተካት የምትፈልገው ኤርትራን የሚወዱ ቅማላም ትግሬዎችን ነው ጉልቻ,ጥላቻ
ጉቶ ብለህ አከበርከው ጉቶ ባያድግም ስር አለው ይሄ ለከፈለው ሁሉ የሚወሸክት ሆዳም ነገ ወያኔን ስደብልኝ ፍርፋሪ ጣል አደርግልሀለሁ ብትለው የምን ስድብ ብቻ እንግረፍ እንውቀጠው የመለስንም አጥንት አንድንበአሳቱ በቆሎ እንጥበስ ይልሀል ጉድ ጉድ ነው እንጂ ዘርህን ጉድ ,ጥላቻ
ጌታነህ ጸጋዬ የተባለ ቅማላም ትግሬ ልጆቻንን የብልግና ዳንስ ሲያስለምድ ተመልከቱ ልጅ ንባብ ወይም የሂሳብ ውድድር እንደማወዳደር የሸርሙጣ ዳንስ እያወዳደራቸው ነው ግማታም እርኩስ ግሽጣ ራስ አጋሜ ደግጦ ቀዝኖ ድፍት ያለ ቦቅቧቃ ግማትም የለማኝ ልጀ ቅማላም አጋሜ,ጥላቻ
ጠንካራ እንጀ ጠንጋራ መሪ አንፈልግም ሀለማሪያም ደሳለኝ ቶሎ ዞር በል የወንበሩን እሳት አትችለውም ,ጥላቻ
ግምገማው በየቀኑ ሰንት እንግደል ነው ወይስ አንሷል ነው ሞት ለገዳይ ለትግራይ ህዝብ,ጥላቻ
ግንቦት ሃያ ቅማላም ትግሬዎች ችጋርን ይዘው ወደ መሬታችን የገቡበት የተረገመ ቀን ነው ግዛቸው መንግስቱ የተባለ ቅማላም ትግሬ በኦሮሞው ተስፋሁን ጨመዳ ሞት ሲስቅ ተመልከቱ ትግሬ ኦሮሞን ከገደለ በኋላ እየተንከተከተ ይስቃል ,ጥላቻ
ጎጃሜዎች አንድ ቅማላም ትግሬ ወደ መንደራቸው ጋብዘው ሲጨፍሩላት ተመልከቱ እንኳን የሸዋ ዘፈን አልሆነ በጣም እናደድ ነበር ይህችን ቅማላም ትግሬ ተመልከቱ ,ጥላቻ
ጓደኛህ ሲታሰር ኮተታም ካድሬ ያዘነልህ ይሞክርልሃል በቀጣይ ጊዜ በቁስልህ እሾህ ያስገባብሃል ስለዚህ ለኮተታም ካድሬ ፊት አትስጠው ኮተታም ሆዳም ብለህ አባረው,ጥላቻ
መሀመድ ኑር ገለቶ አንቺ ቆሻሻ እናትሽ ትበዳ,ጥላቻ
መቸ ይገባችሁዋል ምድረ ቆሻሻ መለስ እንኳን ኢትዮጵያ አለምን ያስተማረን ጄግና ነው መለስ የአለማችን ክሳራ ነው,ጥላቻ
ቆሻሻ ቄሮ ቆዳ አንተ ማን ነህ ይህን ስልጣን የሰጠህ ነገ ከስልጣን ስትወርድ እኔ ይህን አላልኩም ትላለህ ሁላችሁም ስትያዙ ጭብጥ አትምሉም ተራ ማፈሪያ,ጥላቻ
ቆሻሻ ቄሮ ቆዳ አንተ ተራ ማፈሪያ,ጥላቻ
ቆሻሻ ቄሮ ደም ያሳከረው ነው ,ጥላቻ
ይሄ አንችን ሲበዳ የነበረ ነው እሽ እማናቅ መሰለሽ ጭገራም ነሽ ሰገራሽን በፓንትሽ ይዘሽ ዙሪ ቆሻሻ,ጥላቻ
እውር ሊመራኝ አይችልም ደንባራ ቆሻሻ ሀገር ሻጭ ባንዳ ድሮስ ካንተ አይነቱ ደንባራ ምን ይጠበቃል ወይይይይ አስጠላችሁኝ,ጥላቻ
እዚጋ የሀገርን መሪ የምትሰድብ ስድ ወላጅ አባትህን ስትሰድብ ያደክ ቆሻሻ ወሮ በላ ነህ ,ጥላቻ
እደዚች አይነት ቆሻሻን አግኝቶ ማረድ እራሱ ጀሀዳ ነው,ጥላቻ
ሪች የምትባይ ቆሻሻ ትግሬ እናትሽን ልብዳልሽ ውጪ,ጥላቻ
አሉ ከሚባሉ ቆሻሻዎች ሁሉ የመጨረሻ ግም ቆሻሻ ቢኖር አንች ነሽ ኧፍፍፍፍ ሽታውን አልቻልኩትም መቃብርሽ ይፍጠንና ሰው ጥሩ አየር ያሽት የአየር ብክለት ተከሰተ እፍ እፍ,ጥላቻ
አላሁ አክበር አላህ ሂዳ ይስጥሽ አች ምን አይነት ባለጌ ነውረኛ ፍጡር ነሽ በአላህ አች ግም ለአለም የተላኩትን ነብይ በስማቸው ቁራአን የወረደላቸውን ነብይ ነው እዲህ የምትይው አች ቆሻሻ ጥባታም ልክስክስ ስሜቸውን ለመጥራት እራሱ ማን ፈቀደልሽ የት ታውቂቸዋለሽ,ጥላቻ
አላህ ሂድያ ይስጥሽ አች ቆሻሻ ነገረ ነሽ አልሰድብሽም ምክኒያቱም አለማትን የፈጠረ ጊታ ያይሻል አትሳሳች እዚህ ምድረ የሚቀረ የለምና ታገኝዋለሽ የዛኔ ዋ ነፍሴ በምትይበት ሰአት ዛሬማ በሰወች ተከበሽ ቁጭ ብለሽ ያልተፃፈልሽን አውሪ በአች አፍ አይሰደቡም ፊዳካ አቢ ወኡሚ ያረሱለሏህ,ጥላቻ
አአንተ ቆሻሻ ነህ ፍፁም ወገንተኛ ነህ አንተ ቆሻሻ የምታደሪገው አታውቅም እና ይቅር ይበልህ ካሱ የባስ ግማታም ቆሻሻ የአብይ ቡችላ ,ጥላቻ
አንቺ ዝልዝል አሳዳጊ የበደለሽ ምንድነሽ ቆይ አንቺ ሰው አይደለሺም እንስሳም ይበልጥሻል እውነት ታስጠያለሽ ቆሻሻ ነሽ ምን አለ አግኝቼሽ ከዚህ ሰው በታች ባስተኛሽ ሙቺ አቦ እሬሳ,ጥላቻ
